story_number,episode_title,type,first_aired,uk_viewers,rating_AI,duration,season,ep_num,rating_imdb,rating_n,desc,writer,director,doctor_who_actor,,Showrunner
237,The Crimson Horror,episode,5/4/2013,6.47,85,45,7,12,7.3,4779,"When they find a picture of the Doctor in a recently dead man's eye, it's up to Madame Vastra, Jenny and Strax to save The Doctor and find out what sinister secrets are going on at Sweetsville, Yorkshire.",Mark Gatiss,Saul Metzstein,Matt Smith,,Steven Moffat
238,Nightmare in Silver,episode,5/11/2013,6.64,84,45,7,13,7.3,4809,"the doctor takes Clara and the children she babysits to a rundown amusement park in space where Cybermen are hiding, and ready to invade the most precious place in the universe, The Doctor's mind.",Neil Gaiman,Stephen Woolfenden,Matt Smith,,Steven Moffat
239,The Name of the Doctor,episode,5/18/2013,7.45,88,45,7,14,9,7323,"The Doctor's friends are being kidnapped, which leads him to the fields of Trenzalore, where his greatest secret will be revealed and Clara's mystery will be solved.",Steven Moffat,Saul Metzstein,Matt Smith,,Steven Moffat
240,The Day of the Doctor,special,11/23/2013,12.8,88,77,4,1,9.3,20297,"In 2013, something terrible is awakening in London's National Gallery; in 1562, a murderous plot is afoot in Elizabethan England; and somewhere in space an ancient battle reaches its devastating conclusion.",Steven Moffat,Nick Hurran,Matt Smith/David Tennant/John Hurt,,Steven Moffat
241,The Time of the Doctor,special,12/25/2013,11.14,83,60,8,0,8.4,6500,"The Doctor's worst enemies, The Daleks, The Cybermen, The Angels and The Silence, return, as the doctor's eleventh life comes to a close, and his twelfth life begins.",Steven Moffat,Jamie Payne,Matt Smith,,Steven Moffat
242,Deep Breath,episode,8/23/2014,9.17,82,76,8,1,7.9,7546,"When the newly-regenerated doctor arrives in Victorian London, he finds a dinosaur rampant in the Thames and a spate of deadly spontaneous combustions.",Steven Moffat,Ben Wheatley,Peter Capaldi,,Steven Moffat
243,Into the Dalek,episode,8/30/2014,7.29,84,45,8,2,7.6,5964,Know what this is about? Be the first one to add a plot.,Phil Ford/Steven Moffat,Ben Wheatley,Peter Capaldi,,Steven Moffat
244,Robot of Sherwood,episode,9/6/2014,7.28,82,46,8,3,7,6103,"In Sherwood Forest, the Doctor uncovers a sinister alien plot and forms an alliance with Robin Hood. With Nottingham at stake, the Doctor must decide who is real and who is fake.",Mark Gatiss,Paul Murphy,Peter Capaldi,,Steven Moffat
245,Listen,episode,9/13/2014,7.01,82,48,8,4,8.9,7605,"When ghosts of past and future crowd into their lives, The Doctor and Clara are thrown into an adventure that takes them to the very end of the universe.",Steven Moffat,Douglas Mackinnon,Peter Capaldi,,Steven Moffat
246,Time Heist,episode,9/20/2014,6.99,84,45,8,5,7.9,5591,"The Doctor and Clara wake up in a room with two other people, unable to remember how they got there. As it turns out Someone known as the Architect has employed them to Break into the Universe's most secure bank.",Stephen Thompson/Steven Moffat,Douglas Mackinnon,Peter Capaldi,,Steven Moffat
247,The Caretaker,episode,9/27/2014,6.82,83,45,8,6,7.2,4931,"The terrifying Skovox Blitzer is ready to destroy all humanity - but worse, and any second now, Danny Pink and the Doctor are going to meet.",Gareth Roberts/Steven Moffat,Paul Murphy,Peter Capaldi,,Steven Moffat
248,Kill the Moon,episode,10/4/2014,6.91,82,45,8,7,6.8,5666,"In the near future, the Doctor and Clara find themselves on a space shuttle making a suicide mission to the Moon. Crash-landing on the lunar surface they find the most terrible things.",Peter Harness,Paul Wilmshurst,Peter Capaldi,,Steven Moffat
249,Mummy on the Orient Express,episode,10/11/2014,7.11,85,47,8,8,8.5,5526,"On the most beautiful train in history, speeding amongst the stars of the future, a deadly and immortal creature is stalking the passengers.",Jamie Mathieson,Paul Wilmshurst,Peter Capaldi,,Steven Moffat
250,Flatline,episode,10/18/2014,6.71,85,43,8,9,8.4,5256,"A problem happens with the Tardis, trapping the Doctor inside and leaving Clara to fend for herself against a two dimensional enemy.",Jamie Mathieson,Douglas Mackinnon,Peter Capaldi,,Steven Moffat
251,In the Forest of the Night,episode,10/25/2014,6.92,83,45,8,10,6,5123,"One morning in London, and every city and town in the world, the human race wakes up to the most surprising invasion yet: the trees have moved back in. Everywhere, in every land, a forest has grown and taken back the Earth.",Frank Cottrell-Boyce,Sheree Folkson,Peter Capaldi,,Steven Moffat
252a,Dark Water,episode,11/1/2014,7.34,85,46,8,11,8.6,5542,"In the mysterious world of the Nethersphere, plans have been drawn. Old friends and old enemies manoeuvre around the Doctor, and an impossible choice is looming over him.",Steven Moffat,Rachel Talalay,Peter Capaldi,,Steven Moffat
252b,Death in Heaven,episode,11/8/2014,7.6,83,57,8,12,7.8,5308,"With Cybermen on the streets of London, old friends unite against old enemies and the Doctor takes to the air in a startling new role. As the Doctor faces his greatest challenge, sacrifices must be made before the day is won.",Steven Moffat,Rachel Talalay,Peter Capaldi,,Steven Moffat
253,Last Christmas,special,12/25/2014,8.28,82,60,9,0,8.2,5241,"The Doctor and Clara face their Last Christmas. Trapped on an Arctic base, under attack from terrifying creatures, who are you going to call? Santa Claus!",Steven Moffat,Paul Wilmshurst,Peter Capaldi,,Steven Moffat
254a,The Magician's Apprentice,episode,9/19/2015,6.54,84,46,9,1,8.4,5750,"When the skies of Earth are frozen by a mysterious alien force, Clara needs her friend, the Doctor. But where is he and what is he hiding from?",Steven Moffat,Hettie MacDonald,Peter Capaldi,,Steven Moffat
254b,The Witch's Familiar,episode,9/26/2015,5.71,83,48,9,2,8.4,5106,"Trapped and alone in a terrifying Dalek city, the Doctor is at the heart of an evil Empire; no sonic, no TARDIS, nobody to help. With his greatest temptation before him, can the Doctor resist? And will there be mercy?",Steven Moffat,Hettie MacDonald,Peter Capaldi,,Steven Moffat
255a,Under the Lake,episode,10/3/2015,5.63,84,43,9,3,8.2,4899,The Doctor and Clara find themselves on a underwater station where the crew live in fear of deadly ghosts which have taken over the station.,Toby Whithouse,Daniel O'Hara,Peter Capaldi,,Steven Moffat
255b,Before the Flood,episode,10/10/2015,6.05,83,42,9,4,8.1,4617,"In a town that never was, the Doctor and his friends are being stalked by a mysterious figure. With the past and future in the balance, can the Doctor stop the evil Fisher King? And more importantly, who composed Beethoven's 5th.",Toby Whithouse,Daniel O'Hara,Peter Capaldi,,Steven Moffat
256,The Girl Who Died,episode,10/17/2015,6.56,82,46,9,5,7.5,4673,"In a Viking village, a girl named Ashildr is about to make a desperate mistake. The Mire are the deadliest mercenaries in the galaxy, famed for showing no mercy and Ashildr has just declared war on them. The Doctor and Clara have 12 hours to turn a peaceful village into strong fighters, ready for the deadly Mire.",Jamie Mathieson/Steven Moffat,Ed Bazalgette,Peter Capaldi,,Steven Moffat
257,The Woman Who Lived,episode,10/24/2015,6.11,81,46,9,6,7.4,4527,"England, 1651. A deadly highwayman known only as 'The Knightmare' plagues the dark streets of London, his fire-breathing accomplice by his side. There's something clearly more than human here, and that includes the loot as much as the outlaws. Who are these creatures, and are they enemies to be fought, or friends who might possibly save the Doctor from certain doom on the gallows?",Catherine Tregenna,Ed Bazalgette,Peter Capaldi,,Steven Moffat
258a,The Zygon Invasion,episode,10/31/2015,5.76,82,46,9,7,7.8,4396,"Zygons, a shape-shifting alien race, and humans live in peace together on earth, but a group of rogue zygons threaten the peace between humans and zygons.",Peter Harness,Daniel Nettheim,Peter Capaldi,,Steven Moffat
258b,The Zygon Inversion,episode,11/7/2015,6.03,84,46,9,8,8.5,4775,"With the Zygons invading England, and UNIT neutralized, the Doctor stands alone to stop the Zygons from taking over the entire planet. But how can he stop the Zygons? And how can he save his friends?",Peter Harness/Steven Moffat,Daniel Nettheim,Peter Capaldi,,Steven Moffat
259,Sleep No More,episode,11/14/2015,5.61,78,45,9,9,5.8,4838,"Vision recovered from the wreckage of Le Verrier Space Station shows how the Doctor and Clara became entangled in a rescue mission. As the footage plays out, a horrifying secret is uncovered.",Mark Gatiss,Justin Molotnikov,Peter Capaldi,,Steven Moffat
260,Face the Raven,episode,11/21/2015,6.05,84,47,9,10,8.5,5288,"The Doctor and Clara are called back to Earth when Rigsy discovers a strange tattoo on the back of his neck that appears to be counting down to zero. Their investigation leads them to a hidden street in the middle of London, the discovery that Rigsy has been issued a death sentence, and one of them facing the choice of having to make the ultimate sacrifice; to face the Raven!",Sarah Dollard,Justin Molotnikov,Peter Capaldi,,Steven Moffat
261,Heaven Sent,episode,11/28/2015,6.19,80,54,9,11,9.6,10323,"Trapped in a world unlike any other he has seen, the Doctor faces the greatest challenge of his many lives. One final test. And he must face it alone...",Steven Moffat,Rachel Talalay,Peter Capaldi,,Steven Moffat
262,Hell Bent,episode,12/5/2015,6.17,82,61,9,12,8.6,5965,"If you took everything from him, betrayed him, trapped him, and broke both his hearts... how far might the Doctor go? Returning to Gallifrey, the Doctor faces the Time Lords in a struggle that will take him to the end of time itself. Who is the Hybrid? And what is the Doctor's confession?",Steven Moffat,Rachel Talalay,Peter Capaldi,,Steven Moffat
263,The Husbands of River Song,special,12/25/2015,7.69,82,56,9,13,8.5,5106,"When a crashed spaceship calls upon the Doctor for help, he finds himself recruited into River Song's squad and hurled into a chase across the galaxy.",Steven Moffat,Douglas Mackinnon,Peter Capaldi,,Steven Moffat
264,The Return of Doctor Mysterio,special,12/25/2016,7.83,82,60,10,0,7.4,4844,"In New York, with brain-swapping aliens poised to attack, the Doctor and Nardole link up with an investigative reporter and a mysterious masked superhero known only as the Ghost. Can the Doctor save Manhattan? And what will be revealed when we see behind the mask?",Steven Moffat,Ed Bazalgette,Peter Capaldi,,Steven Moffat
265,The Pilot,episode,4/15/2017,6.68,83,50,10,1,7.9,4800,The Doctor and Nardole team up with a university student to take down a sinister life-mimicking alien.,Steven Moffat,Lawrence Gough,Peter Capaldi,,Steven Moffat
266,Smile,episode,4/22/2017,5.98,83,46,10,2,7.1,4083,"The Doctor brings Bill to a future human colony, where cute EmojiBots work as willing servants and make sure everybody's happy, but if they're not happy ,they're harvested, so Bill and The Doctor better smile, or else.",Frank Cottrell-Boyce,Lawrence Gough,Peter Capaldi,,Steven Moffat
267,Thin Ice,episode,4/29/2017,5.61,84,44,10,3,7.3,3920,The Doctor and Bill visit London during the last of the River Thames frost fairs in February 1814. They soon discover that there is something under the ice which is causing people to disappear.,Sarah Dollard,Bill Anderson,Peter Capaldi,,Steven Moffat
268,Knock Knock,episode,5/6/2017,5.73,83,44,10,4,7.3,3874,"Bill is moving in with some friends and they've found the perfect house rented by the landlord. The wind blows, the floorboards creak and the Doctor thinks something is very wrong.",Mike Bartlett,Bill Anderson,Peter Capaldi,,Steven Moffat
269,Oxygen,episode,5/13/2017,5.27,83,45,10,5,8.1,3992,"When the Doctor, Bill and Nardole become trapped on a space station without oxygen, they discover the spacesuits are trying to kill them.",Jamie Mathieson,Charles Palmer,Peter Capaldi,,Steven Moffat
270,Extremis,episode,5/20/2017,5.53,82,49,10,6,8.4,4112,"The Doctor is called by the Vatican to solve the mystery of a text called the Veritas, that when someone reads it dies soon after. But something is dwelling in the Vatican, and doesn't want the Veritas to be read.",Steven Moffat,Daniel Nettheim,Peter Capaldi,,Steven Moffat
271,The Pyramid at the End of the World,episode,5/27/2017,5.79,82,46,10,7,7.6,3566,"A 5,000-year-old pyramid appears overnight, baffling everyone including the Doctor.",Peter Harness/Steven Moffat,Daniel Nettheim,Peter Capaldi,,Steven Moffat
272,The Lie of the Land,episode,6/3/2017,4.82,82,45,10,8,7.1,3461,"Earth is invaded and Bill is living alone in occupied Britain. The Doctor appears to be on the side of the enemy, flooding the airwaves with fake news. Bill and Nardole embark on a deadly mission to rescue the Doctor and lead the resistance against the new regime, whatever the cost.",Toby Whithouse,Wayne Yip,Peter Capaldi,,Steven Moffat
273,Empress of Mars,episode,6/10/2017,5.02,83,44,10,9,7,3416,"The Doctor, Bill and Nardole discover a tomb of the Queen of the Ice Warriors on Mars in 1881.",Mark Gatiss,Wayne Yip,Peter Capaldi,,Steven Moffat
274,The Eaters of Light,episode,6/17/2017,4.73,81,42,10,10,6.8,3400,"A long time ago, the Roman legion of the ninth vanished into the mists of Scotland. Bill has a theory about what happened, and the Doctor has a time machine. But when they arrive in ancient Aberdeenshire, what they find is a far greater threat than any army. In a cairn, on a hillside, is a doorway leading to the end of the world.",Rona Munro,Charles Palmer,Peter Capaldi,,Steven Moffat
275a,World Enough and Time,episode,6/24/2017,5,85,46,10,11,9.2,4802,"Trapped on a giant spaceship, caught in the event horizon of a black hole, he witnesses the death of someone he is pledged to protect. Are events already out of control?",Steven Moffat,Rachel Talalay,Peter Capaldi,,Steven Moffat
275b,The Doctor Falls,episode,7/1/2017,5.3,83,60,10,12,9,4807,The Doctor makes a final stand against an army of Cybermen to protect a tiny band of humans from destruction.,Steven Moffat,Rachel Talalay,Peter Capaldi,,Steven Moffat
276,Twice Upon a Time,special,12/25/2017,7.92,81,60,11,0,8.1,6378,"The Twelfth Doctor, still refusing to change, goes on a last adventure with the First Doctor.",Steven Moffat,Rachel Talalay,Jodie Whittaker,,Chris Chibnall
277,The Woman Who Fell to Earth,episode,10/7/2018,10.96,83,64,11,1,6.8,10091,"In a South Yorkshire city, Ryan Sinclair, Yasmin Khan and Graham O'Brien are about to have their lives changed forever, as a mysterious woman, unable to remember her own name, falls from the night sky.",Chris Chibnall,Jamie Childs,Jodie Whittaker,,Chris Chibnall
278,The Ghost Monument,episode,10/14/2018,9,82,49,11,2,5.9,7791,"Still reeling from their first encounter, can the Doctor and her new friends stay alive long enough, in a hostile alien environment, to solve the mystery of Desolation? And just who are Angstrom and Epzo?",Chris Chibnall,Mark Tonderai,Jodie Whittaker,,Chris Chibnall
279,Rosa,episode,10/21/2018,8.41,83,50,11,3,6.9,9174,"Montgomery, Alabama, 1955. The Doctor and her friends find themselves in the Deep South of America. As they encounter a seamstress by the name of Rosa Parks, they begin to wonder whether someone is attempting to change history.",Malorie Blackman/Chris Chibnall,Mark Tonderai,Jodie Whittaker,,Chris Chibnall
280,Arachnids in the UK,episode,10/28/2018,8.22,83,49,11,4,4.9,7109,"The Doctor, Yaz, Graham, and Ryan find their way back to Yorkshire only to find something is stirring amidst the eight-legged arachnid population of Sheffield.",Chris Chibnall,Sallie Aprahamian,Jodie Whittaker,,Chris Chibnall
281,The Tsuranga Conundrum,episode,11/4/2018,7.76,79,51,11,5,4.9,6577,"Injured and stranded in the wilds of a far-flung galaxy, The Doctor, Yaz, Graham, and Ryan must band together with a group of strangers to survive against one of the universe's most deadly - and unusual - creatures.",Chris Chibnall,Jennifer Perrott,Jodie Whittaker,,Chris Chibnall
282,Demons of the Punjab,episode,11/11/2018,7.48,80,50,11,6,6.4,6644,"Yasmin travels in time to visit her grandmother during her youth in the partition of India, but everyone gets caught up in the tragic bloodshed of that era.",Vinay Patel,Jamie Childs,Jodie Whittaker,,Chris Chibnall
283,Kerblam!,episode,11/18/2018,7.46,81,49,11,7,6.1,5843,"A mysterious message arrives in a package addressed to the Doctor, leading her, Graham, Yaz and Ryan to investigate the warehouse moon orbiting Kandoka, and the home of the galaxy's largest retailer.",Pete McTighe,Jennifer Perrott,Jodie Whittaker,,Chris Chibnall
284,The Witchfinders,episode,11/25/2018,7.21,81,47,11,8,5.5,5499,"Arriving in 17th Century Lancashire, the TARDIS team become embroiled in a witch trial. With the arrival of King James I, the hunt for witches intensifies. However, could something more dangerous be at play? Can the Doctor, Graham, Yaz and Ryan keep the populace of Bilehurst Cragg safe from the forces surrounding the land?",Joy Wilkinson,Sallie Aprahamian,Jodie Whittaker,,Chris Chibnall
285,It Takes You Away,episode,12/2/2018,6.42,80,49,11,9,6,5280,"On the edge of a Norwegian fjord, in the present day, The Doctor, Ryan, Graham and Yaz discover a boarded-up cottage and a girl named Hanne in need of their help. What has happened here? What monster lurks in the woods around the cottage - and beyond?",Ed Hime,Jamie Childs,Jodie Whittaker,,Chris Chibnall
286,The Battle of Ranskoor Av Kolos,episode,12/9/2018,6.65,79,50,11,10,5,4804,"Answering nine separate distress calls, the Doctor and team arrive on the remnants of a brutal battlefield on the planet Ranskoor Av Kolos. This planet has many secrets. An amnesiac commander? Mysterious mists? Who or what are the Ux? A deadly reckoning awaits the Doctor and team once they have the answers....",Chris Chibnall,Jamie Childs,Jodie Whittaker,,Chris Chibnall
287,Resolution,special,1/1/2019,7.13,80,60,11,11,5.6,4698,"As the New Year begins, a terrifying evil is stirring from across the centuries of Earth's history. As the Doctor, Ryan, Graham and Yaz return home, will they be able to overcome the threat to planet Earth?",Chris Chibnall,Wayne Yip,Jodie Whittaker,,Chris Chibnall
288a,"Spyfall, Part 1",episode,1/1/2020,6.89,82,59,12,1,6.4,5401,"When intelligence agents around the world come under attack from alien forces, MI6 turns to the only person who can help... The Doctor.",Chris Chibnall,Jamie Magnus Stone,Jodie Whittaker,,Chris Chibnall
288b,"Spyfall, Part 2",episode,1/5/2020,6.07,82,60,12,2,6.3,4781,A terrifying plan to destroy humanity is about to reach fruition. Can the Doctor and her friends escape multiple traps and defeat a deadly alliance?,Chris Chibnall,Lee Haven Jones,Jodie Whittaker,,Chris Chibnall
289,Orphan 55,episode,1/12/2020,5.38,77,46,12,3,3.9,5383,"Having decided that everyone could do with a holiday, Graham accidentally teleports himself, the Doctor Yasmin and Ryan to a luxury resort for a spot of rest and relaxation. However, they discover the place where they are having a break is hiding a number of deadly secrets. What are the ferocious monsters that are attacking Tranquility Spa?",Ed Hime,Lee Haven Jones,Jodie Whittaker,,Chris Chibnall
290,Nikola Tesla's Night of Terror,episode,1/19/2020,5.2,79,50,12,4,6.3,4292,"The time: the earliest years of the 20th century. The place: New York City. Inventor Nikola Tesla is at war with his rival Thomas Edison. However, there's an even greater threat in their midst.",Nina Metivier,Nida Manzoor,Jodie Whittaker,,Chris Chibnall
291,Fugitive of the Judoon,episode,1/26/2020,5.57,83,50,12,5,7.3,4692,"Stomping their way into present-day Gloucester, the Judoon are on the hunt for someone on the run. Who is this fugitive? And why are these alien mercenaries after them?",Vinay Patel/Chris Chibnall,Nida Manzoor,Jodie Whittaker,,Chris Chibnall
292,Praxeus,episode,2/2/2020,5.22,78,49,12,6,5,3860,The Doctor and her friends split up to investigate multiple mysteries across planet Earth. What they find will threaten all of humanity.,Pete McTighe/Chris Chibnall,Jamie Magnus Stone,Jodie Whittaker,,Chris Chibnall
293,Can You Hear Me?,episode,2/9/2020,4.9,78,49,12,7,5.5,3451,"From ancient Syria to present day Sheffield, and out into the wilds of space, something is stalking the Doctor and infecting people's nightmares.",Charlene James/Chris Chibnall,Emma Sullivan,Jodie Whittaker,,Chris Chibnall
294,The Haunting of Villa Diodati,episode,2/16/2020,5.07,80,49,12,8,6.9,3582,"Villa Diodati, 1816 - on a night that inspired Mary Shelley's Frankenstein. The plan was to spend the evening in the presence of literary greats - but the ghosts are all too real. And the Doctor is forced into an earth-shattering decision.",Maxine Alderton,Emma Sullivan,Jodie Whittaker,,Chris Chibnall
295a,Ascension of the Cybermen,episode,2/23/2020,4.99,81,49,12,9,6.3,3355,"In the far future, the Doctor and her friends face a brutal battle across the farthest reaches of space to protect the last of the human race against the deadly Cybermen.",Chris Chibnall,Jamie Magnus Stone,Jodie Whittaker,,Chris Chibnall
295b,The Timeless Children,episode,3/1/2020,4.69,82,65,12,10,4.9,4743,"In the epic and emotional season finale, the Cybermen are on the march. As the last remaining humans are ruthlessly hunted down, Graham, Ryan and Yaz face a terrifying fight to survive. Civilisations fall. Others rise anew. Lies are exposed, truths are revealed, battles are fought, and for the Doctor - trapped and alone - nothing will ever be the same again.",Chris Chibnall,Jamie Magnus Stone,Jodie Whittaker,,Chris Chibnall
296,Revolution of the Daleks,special,1/1/2021,6.35,79,71,12,11,5.8,2808,"Robertson returns, and inadvertently gives the mutant Dalek a chance to clone itself. The Doctor escapes from her alien prison with the help of an old friend, and returns to help.",Chris Chibnall,Lee Haven Jones,Jodie Whittaker,,Chris Chibnall
297a,The Halloween Apocalypse,episode,10/31/2021,5.79,76,50,13,1,6.7,3600,"At Halloween, all across the universe, terrifying forces are stirring. From the Arctic Circle to deep space, an ancient evil is breaking free. And in present day Liverpool, the life of Dan Lewis is about to change forever.",Chris Chibnall,Jamie Magnus Stone,Jodie Whittaker,,Chris Chibnall
297b,War of the Sontarans,episode,11/7/2021,5.13,77,59,13,2,7,4100,"During the Crimean War, the Doctor discovers the British army fighting a brutal alien army of Sontarans, as Yaz and Dan are thrown deeper into a battle for survival. What is the Temple of Atropos? Who are the Mouri?",Chris Chibnall,Jamie Magnus Stone,Jodie Whittaker,,Chris Chibnall
297c,"Once, Upon Time",episode,11/14/2021,4.7,75,49,13,3,5.9,3700,"Time is beginning to run wild. On a planet that shouldn't exist, in the aftermath of apocalypse, the Doctor, Dan, Yaz, and Vinder face a battle to survive.",Chris Chibnall,Azhur Saleem,Jodie Whittaker,,Chris Chibnall
297d,Village of the Angels,episode,11/21/2021,4.57,79,56,13,4,7.7,4100,"Devon, November 1967. A little girl has gone missing, Prof Jericho is conducting psychic experiments and in the graveyard there is one gravestone too many. Why is Medderton known as The Cursed Village and what do the Weeping Angels want?",Chris Chibnall/Maxine Alderton,Jamie Magnus Stone,Jodie Whittaker,,Chris Chibnall
297e,Survivors of the Flux,episode,11/28/2021,4.83,77,50,13,5,6.1,3400,"As the forces of evil mass, the Doctor, Yaz and Dan face perilous journeys and seemingly insurmountable obstacles in their quest for survival.",Chris Chibnall,Azhur Saleem,Jodie Whittaker,,Chris Chibnall
297f,The Vanquishers,episode,12/5/2021,4.64,76,59,13,6,5.4,3600,"In the final epic chapter in the story of the Flux, all hope is lost. The forces of darkness are in control. But when the monsters have won, who can you count upon to save the universe?",Chris Chibnall,Azhur Saleem,Jodie Whittaker,,Chris Chibnall
